index,timestamp,title,keywords,metrics,raw_text,element_tag,element_class,links
10,2026-02-19T14:32:42.459142,,"['유튜브 문제가 발생', 'new']",{},"유튜브 문제가 발생
new",li,u_ni_trend_item,['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-18&interval=day&query=%EC%9C%A0%ED%8A%9C%EB%B8%8C%20%EB%AC%B8%EC%A0%9C%EA%B0%80%20%EB%B0%9C%EC%83%9D&service=naver_blog&startDate=2026-02-18']
13,2026-02-19T14:32:42.744361,,"['바다거북스프 문제', '5']",{},"바다거북스프 문제
5",a,u_ni_trend_link,[]
15,2026-02-19T14:32:42.864313,,['나혼자만 레벨업 3기'],{},나혼자만 레벨업 3기,a,u_ni_trend_link,[]
19,2026-02-19T14:32:42.984709,,['운명전쟁49 공개시간'],{},운명전쟁49 공개시간,li,u_ni_trend_item,['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-18&interval=day&query=%EC%9A%B4%EB%AA%85%EC%A0%84%EC%9F%8149%20%EA%B3%B5%EA%B0%9C%EC%8B%9C%EA%B0%84&service=naver_blog&startDate=2026-02-18']
25,2026-02-19T14:32:43.123101,,[],{},레이디두아 기본정보,span,u_ni_trend_text,[]
32,2026-02-19T14:32:43.239070,,"['유니클로 배기커브진', '45']",{},"유니클로 배기커브진
45",a,u_ni_trend_link,[]
34,2026-02-19T14:32:43.358627,,['극장판 귀멸의 칼날 무한성편'],{},극장판 귀멸의 칼날 무한성편,a,u_ni_trend_link,[]
38,2026-02-19T14:32:43.499346,,"['14', '악마술사 스킬트리']",{},"악마술사 스킬트리
14",li,u_ni_trend_item,['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-18&interval=day&query=%EC%95%85%EB%A7%88%EC%88%A0%EC%82%AC%20%EC%8A%A4%ED%82%AC%ED%8A%B8%EB%A6%AC&service=naver_blog&startDate=2026-02-18']
45,2026-02-19T14:32:43.677576,,"['루미큐브 규칙', '11']",{},"루미큐브 규칙
11",a,u_ni_trend_link,[]
