index,timestamp,title,keywords,metrics,raw_text,element_tag,element_class,links
3,2026-02-21T17:36:33.457132,,"['2', '메이플키우기 쿠폰']",{},"메이플키우기 쿠폰
2",li,u_ni_trend_item,['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EB%A9%94%EC%9D%B4%ED%94%8C%ED%82%A4%EC%9A%B0%EA%B8%B0%20%EC%BF%A0%ED%8F%B0&service=naver_blog&startDate=2026-02-20']
5,2026-02-21T17:36:33.604658,,['K팝 인기 남가수 혼외자 논란'],{},K팝 인기 남가수 혼외자 논란,a,u_ni_trend_link,[]
13,2026-02-21T17:36:33.731901,,['나혼자만 레벨업 3기'],{},나혼자만 레벨업 3기,li,u_ni_trend_item,['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EB%82%98%ED%98%BC%EC%9E%90%EB%A7%8C%20%EB%A0%88%EB%B2%A8%EC%97%85%203%EA%B8%B0&service=naver_blog&startDate=2026-02-20']
17,2026-02-21T17:36:33.862440,게임,"['올팜', '메이플키우기 환불', '밸런스게임', '디아2 래더13', '리니지 클래식', '디아2 악마술사', '커플 밸런스게임', '올팜 맞팜', '모동숲 여욱 진품', '디아블로2 래더13']",{},"게임
올팜 맞팜
-
밸런스게임
2
디아2 래더13
22
리니지 클래식
2
닌텐도 스위치2
2
핀볼게임
3
메이플키우기 환불
4
커플 밸런스게임
-
밸런스게임 질문
1
에르피스 티어
5
케이뱅크 돈나무
1
디아2 악마술사
5
운빨존많겜 티어
7
그놈은 드래곤 티어
-
올팜
1
바다거북스프 문제
3
모동숲 여욱 진품
2
악마술사 스킬트리
2
디아블로2 래더13
new
메이플키우기 쿠폰
2",div,u_ni_trend_list,"['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EC%98%AC%ED%8C%9C%20%EB%A7%9E%ED%8C%9C&service=naver_blog&startDate=2026-02-20', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EB%B0%B8%EB%9F%B0%EC%8A%A4%EA%B2%8C%EC%9E%84&service=naver_blog&startDate=2026-02-20', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EB%94%94%EC%95%842%20%EB%9E%98%EB%8D%9413&service=naver_blog&startDate=2026-02-20', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EB%A6%AC%EB%8B%88%EC%A7%80%20%ED%81%B4%EB%9E%98%EC%8B%9D&service=naver_blog&startDate=2026-02-20', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EB%8B%8C%ED%85%90%EB%8F%84%20%EC%8A%A4%EC%9C%84%EC%B9%982&service=naver_blog&startDate=2026-02-20']"
38,2026-02-21T17:36:34.771856,,[],{},넷플릭스 애니 추천,span,u_ni_trend_text,[]
41,2026-02-21T17:36:34.846381,,[],{},용산 치이카와 팝업,span,u_ni_trend_text,[]
43,2026-02-21T17:36:34.930456,,"['아름다운 초저녁달', '주술회전 휴방', '용산 치이카와 팝업', '나혼자만 레벨업 3기', '넷플릭스 애니 추천', '주술회전 순서', '주술회전 3기 8화', '귀멸의 칼날', '다이소 폴라폴라', '무한성 ott']",{},"주술회전 3기
주술회전 3기 8화
주술회전
주술회전 55화
극장판 귀멸의 칼날 무한성편
귀멸의 칼날 무한성
나혼자만 레벨업 3기
귀멸의 칼날 무한성 ott
필리밀리 챠미키티
용산 치이카와 팝업
무한성 ott
애니 추천
주술회전 휴방
아름다운 초저녁달
주술회전 순서
에반게리온 순서
주술회전 3기 55화
넷플릭스 애니 추천
다이소 폴라폴라
귀멸의 칼날",ul,u_ni_item_list,"['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EC%A3%BC%EC%88%A0%ED%9A%8C%EC%A0%84%203%EA%B8%B0&service=naver_blog&startDate=2026-02-20', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EC%A3%BC%EC%88%A0%ED%9A%8C%EC%A0%84%203%EA%B8%B0%208%ED%99%94&service=naver_blog&startDate=2026-02-20', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EC%A3%BC%EC%88%A0%ED%9A%8C%EC%A0%84&service=naver_blog&startDate=2026-02-20', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EC%A3%BC%EC%88%A0%ED%9A%8C%EC%A0%84%2055%ED%99%94&service=naver_blog&startDate=2026-02-20', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EA%B7%B9%EC%9E%A5%ED%8C%90%20%EA%B7%80%EB%A9%B8%EC%9D%98%20%EC%B9%BC%EB%82%A0%20%EB%AC%B4%ED%95%9C%EC%84%B1%ED%8E%B8&service=naver_blog&startDate=2026-02-20']"
46,2026-02-21T17:36:35.517428,35-39세 여자,"['화초당 지선도령', '얼쓰빕', '심석희 조재범', '빈센트앤코', 'K팝 인기 남가수 혼외자 논란', 'k팝가수 혼외자', '찬란한너의계절에 기본정보', '왕과 사는 남자', '레이디두아 결말', '케이뱅크 복주머니']",{},"35-39세 여자
케이뱅크 공모주
레이디두아
레이디두아 결말
케이뱅크 복주머니
스타벅스 리유저블컵
k팝 혼외자
현아
갤럭시 s26
왕과 사는 남자
봄동 겉절이
얼쓰빕
K팝 인기 남가수 혼외자 논란
빈센트앤코
운명전쟁49
케이뱅크
화초당 지선도령
심석희 조재범
이마트 두쫀쿠 키트
찬란한너의계절에 기본정보
k팝가수 혼외자",div,u_ni_trend_list_box,"['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EC%BC%80%EC%9D%B4%EB%B1%85%ED%81%AC%20%EA%B3%B5%EB%AA%A8%EC%A3%BC&service=naver_blog&startDate=2026-02-20', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EB%A0%88%EC%9D%B4%EB%94%94%EB%91%90%EC%95%84&service=naver_blog&startDate=2026-02-20', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EB%A0%88%EC%9D%B4%EB%94%94%EB%91%90%EC%95%84%20%EA%B2%B0%EB%A7%90&service=naver_blog&startDate=2026-02-20', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EC%BC%80%EC%9D%B4%EB%B1%85%ED%81%AC%20%EB%B3%B5%EC%A3%BC%EB%A8%B8%EB%8B%88&service=naver_blog&startDate=2026-02-20', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4%20%EB%A6%AC%EC%9C%A0%EC%A0%80%EB%B8%94%EC%BB%B5&service=naver_blog&startDate=2026-02-20']"
