index,timestamp,title,keywords,metrics,raw_text,element_tag,element_class,links
3,2026-02-21T09:03:38.085092,,"['스타벅스 리유저블컵', '4']",{},"스타벅스 리유저블컵
4",li,u_ni_trend_item,['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4%20%EB%A6%AC%EC%9C%A0%EC%A0%80%EB%B8%94%EC%BB%B5&service=naver_blog&startDate=2026-02-20']
4,2026-02-21T09:03:38.346227,,['주술회전 3기 55화'],{},주술회전 3기 55화,a,u_ni_trend_link,[]
12,2026-02-21T09:03:38.662015,,"['모동숲 여욱 진품', '2']",{},"모동숲 여욱 진품
2",a,u_ni_trend_link,[]
16,2026-02-21T09:03:38.816762,,[],{},넷플릭스 애니 추천,span,u_ni_trend_text,[]
26,2026-02-21T09:03:38.954250,,[],{},주술회전 3기 8화,span,u_ni_trend_text,[]
36,2026-02-21T09:03:39.121169,게임,"['메이플키우기 환불', '5', '악마술사 스킬트리', '밸런스게임 질문', '22', '7', '그놈은 드래곤 티어', '메이플키우기 쿠폰', '케이뱅크 돈나무', '디아2 래더13']",{},"게임
올팜 맞팜
-
밸런스게임
2
디아2 래더13
22
리니지 클래식
2
닌텐도 스위치2
2
핀볼게임
3
메이플키우기 환불
4
커플 밸런스게임
-
밸런스게임 질문
1
에르피스 티어
5
케이뱅크 돈나무
1
디아2 악마술사
5
운빨존많겜 티어
7
그놈은 드래곤 티어
-
올팜
1
바다거북스프 문제
3
모동숲 여욱 진품
2
악마술사 스킬트리
2
디아블로2 래더13
new
메이플키우기 쿠폰
2",div,u_ni_trend_list_box,"['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EC%98%AC%ED%8C%9C%20%EB%A7%9E%ED%8C%9C&service=naver_blog&startDate=2026-02-20', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EB%B0%B8%EB%9F%B0%EC%8A%A4%EA%B2%8C%EC%9E%84&service=naver_blog&startDate=2026-02-20', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EB%94%94%EC%95%842%20%EB%9E%98%EB%8D%9413&service=naver_blog&startDate=2026-02-20', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EB%A6%AC%EB%8B%88%EC%A7%80%20%ED%81%B4%EB%9E%98%EC%8B%9D&service=naver_blog&startDate=2026-02-20', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EB%8B%8C%ED%85%90%EB%8F%84%20%EC%8A%A4%EC%9C%84%EC%B9%982&service=naver_blog&startDate=2026-02-20']"
37,2026-02-21T09:03:39.997751,,['넷플릭스 애니 추천'],{},넷플릭스 애니 추천,li,u_ni_trend_item,['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EB%84%B7%ED%94%8C%EB%A6%AD%EC%8A%A4%20%EC%95%A0%EB%8B%88%20%EC%B6%94%EC%B2%9C&service=naver_blog&startDate=2026-02-20']
48,2026-02-21T09:03:40.175785,,['극장판 귀멸의 칼날 무한성편'],{},극장판 귀멸의 칼날 무한성편,a,u_ni_trend_link,[]
