index,timestamp,title,keywords,metrics,raw_text,element_tag,element_class,links
15,2026-02-18T22:15:38.466377,,"['37', '메이플키우기 환불']",{},"메이플키우기 환불
37",li,u_ni_trend_item,['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-17&interval=day&query=%EB%A9%94%EC%9D%B4%ED%94%8C%ED%82%A4%EC%9A%B0%EA%B8%B0%20%ED%99%98%EB%B6%88&service=naver_blog&startDate=2026-02-17']
22,2026-02-18T22:15:38.634088,,"['13', '루미큐브 규칙']",{},"루미큐브 규칙
13",li,u_ni_trend_item,['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-17&interval=day&query=%EB%A3%A8%EB%AF%B8%ED%81%90%EB%B8%8C%20%EA%B7%9C%EC%B9%99&service=naver_blog&startDate=2026-02-17']
26,2026-02-18T22:15:38.775186,,['나혼자만 레벨업 3기'],{},나혼자만 레벨업 3기,a,u_ni_trend_link,[]
31,2026-02-18T22:15:38.874827,,"['75', '떡만두국 레시피']",{},"떡만두국 레시피
75",a,u_ni_trend_link,[]
36,2026-02-18T22:15:38.985312,,"['바다거북스프 문제', '5']",{},"바다거북스프 문제
5",li,u_ni_trend_item,['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-17&interval=day&query=%EB%B0%94%EB%8B%A4%EA%B1%B0%EB%B6%81%EC%8A%A4%ED%94%84%20%EB%AC%B8%EC%A0%9C&service=naver_blog&startDate=2026-02-17']
37,2026-02-18T22:15:39.087767,,['강철의 연금술사 ott'],{},강철의 연금술사 ott,li,u_ni_trend_item,['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-17&interval=day&query=%EA%B0%95%EC%B2%A0%EC%9D%98%20%EC%97%B0%EA%B8%88%EC%88%A0%EC%82%AC%20ott&service=naver_blog&startDate=2026-02-17']
41,2026-02-18T22:15:39.200911,,"['운빨존많겜 쿠폰', '7', '올팜 맞팜', '리니지 클래식', '커플 밸런스게임', '그놈은 드래곤 티어', '섯다 족보', '5', 'new', '모동숲 여욱 진품']",{},"고스톱 규칙
1
올팜 맞팜
1
섯다 족보
-
닌텐도 스위치2
-
밸런스게임
-
리니지 클래식
2
게임개발스토리 공략
-
바다거북스프 문제
5
루미큐브 규칙
13
그놈은 드래곤 티어
7
밸런스게임 질문
5
핀볼게임
2
에르피스 티어
4
운빨존많겜 티어
8
두근두근타운 오로라
new
모동숲 여욱 진품
18
메이플키우기 환불
37
커플 밸런스게임
5
디아2 악마술사
1
운빨존많겜 쿠폰
6",ul,u_ni_item_list,"['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-17&interval=day&query=%EA%B3%A0%EC%8A%A4%ED%86%B1%20%EA%B7%9C%EC%B9%99&service=naver_blog&startDate=2026-02-17', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-17&interval=day&query=%EC%98%AC%ED%8C%9C%20%EB%A7%9E%ED%8C%9C&service=naver_blog&startDate=2026-02-17', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-17&interval=day&query=%EC%84%AF%EB%8B%A4%20%EC%A1%B1%EB%B3%B4&service=naver_blog&startDate=2026-02-17', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-17&interval=day&query=%EB%8B%8C%ED%85%90%EB%8F%84%20%EC%8A%A4%EC%9C%84%EC%B9%982&service=naver_blog&startDate=2026-02-17', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-17&interval=day&query=%EB%B0%B8%EB%9F%B0%EC%8A%A4%EA%B2%8C%EC%9E%84&service=naver_blog&startDate=2026-02-17']"
49,2026-02-18T22:15:39.928326,,"['75', '떡만두국 레시피']",{},"떡만두국 레시피
75",li,u_ni_trend_item,['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-17&interval=day&query=%EB%96%A1%EB%A7%8C%EB%91%90%EA%B5%AD%20%EB%A0%88%EC%8B%9C%ED%94%BC&service=naver_blog&startDate=2026-02-17']
