index,timestamp,title,keywords,metrics,raw_text,element_tag,element_class,links
5,2026-02-20T20:27:45.578199,,"['노슬비 고딩엄빠', '14']",{},"노슬비 고딩엄빠
14",a,u_ni_trend_link,[]
7,2026-02-20T20:27:45.751019,,"['메이플키우기 직업추천', '7']",{},"메이플키우기 직업추천
7",li,u_ni_trend_item,['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-19&interval=day&query=%EB%A9%94%EC%9D%B4%ED%94%8C%ED%82%A4%EC%9A%B0%EA%B8%B0%20%EC%A7%81%EC%97%85%EC%B6%94%EC%B2%9C&service=naver_blog&startDate=2026-02-19']
8,2026-02-20T20:27:45.861818,,['스타벅스 리유저블컵'],{},스타벅스 리유저블컵,a,u_ni_trend_link,[]
22,2026-02-20T20:27:46.033046,,"['바다거북스프 문제', '6']",{},"바다거북스프 문제
6",a,u_ni_trend_link,[]
23,2026-02-20T20:27:46.132527,,['넷플릭스 애니 추천'],{},넷플릭스 애니 추천,a,u_ni_trend_link,[]
31,2026-02-20T20:27:46.320523,35-39세 여자,"['K팝 남가수 혼외자 스캔들', '심석희 최민정', '케이뱅크 복주머니', '봄동 겉절이', '스타벅스 리유저블컵', '심석희 조재범', '갤럭시 s26', '루원시티 대성베르힐', '빈센트앤코', '화초당 지선도령']",{},"35-39세 여자
레이디두아 결말
K팝 남가수 혼외자 스캔들
레이디두아
심석희
심석희 최민정 갈등
운명전쟁49
케이뱅크 복주머니
심석희 조재범
심석희 최민정
왕과 사는 남자
빈센트앤코
루원시티 대성베르힐
케이뱅크 공모주
스타벅스 리유저블컵
최민정 심석희 갈등
K팝 男가수 혼외자 출산설 논란
갤럭시 s26
화초당 지선도령
봄동 겉절이
노슬비 고딩엄빠",div,u_ni_trend_list,"['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-19&interval=day&query=%EB%A0%88%EC%9D%B4%EB%94%94%EB%91%90%EC%95%84%20%EA%B2%B0%EB%A7%90&service=naver_blog&startDate=2026-02-19', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-19&interval=day&query=K%ED%8C%9D%20%EB%82%A8%EA%B0%80%EC%88%98%20%ED%98%BC%EC%99%B8%EC%9E%90%20%EC%8A%A4%EC%BA%94%EB%93%A4&service=naver_blog&startDate=2026-02-19', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-19&interval=day&query=%EB%A0%88%EC%9D%B4%EB%94%94%EB%91%90%EC%95%84&service=naver_blog&startDate=2026-02-19', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-19&interval=day&query=%EC%8B%AC%EC%84%9D%ED%9D%AC&service=naver_blog&startDate=2026-02-19', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-19&interval=day&query=%EC%8B%AC%EC%84%9D%ED%9D%AC%20%EC%B5%9C%EB%AF%BC%EC%A0%95%20%EA%B0%88%EB%93%B1&service=naver_blog&startDate=2026-02-19']"
41,2026-02-20T20:27:47.012848,,"['심석희 최민정', 'new']",{},"심석희 최민정
new",li,u_ni_trend_item,['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-19&interval=day&query=%EC%8B%AC%EC%84%9D%ED%9D%AC%20%EC%B5%9C%EB%AF%BC%EC%A0%95&service=naver_blog&startDate=2026-02-19']
47,2026-02-20T20:27:47.144034,,[],{},약사의 혼잣말 3기,span,u_ni_trend_text,[]
