index,timestamp,title,keywords,metrics,raw_text,element_tag,element_class,links
15,2026-02-20T00:08:18.616679,게임,[],{},"게임
조회한 기간의 데이터가 없습니다.",div,u_ni_trend_list_box,[]
23,2026-02-20T00:08:18.737752,,['주제별 인기유입검색어'],{},주제별 인기유입검색어,li,swiper-slide swiper-slide-active u_ni_nav_item u_ni_is_active,[]
39,2026-02-20T00:08:18.903682,게임,[],{},"게임
조회한 기간의 데이터가 없습니다.",div,u_ni_trend_list,[]
40,2026-02-20T00:08:18.960132,,"['성별,연령별 인기유입검색어']",{},"성별,연령별 인기유입검색어",li,swiper-slide swiper-slide-next u_ni_nav_item,[]
41,2026-02-20T00:08:19.042294,,[],{},조회한 기간의 데이터가 없습니다.,ul,u_ni_item_list,[]
